source	ref	human
Reversible myelosuppression , including thrombocytopenia , leukopenia , and anemia , occurs in about 3 % of patients , usually when therapy is used > 2 wk .	However , in some people , myelofibrosis rapidly leads to anemia , low levels of platelets in the blood ( thrombocytopenia ) , or leukemia .	2.0
Because bilateral pheochromocytomas are common , adrenal -sparing surgery may be appropriate in some patients ( 1 ) .	Most pheochromocytomas grow within the cortex of adrenal glands .	0.0
Increased breast density seen on screening mammography is associated with an increased risk of breast cancer .	Mammography may miss up to 15 % of breast cancers .	1.0
Type B : These dissections are confined to the descending thoracic aorta ( distal to the left subclavian artery ) .	The thoracic aorta , where most aortic dissection occurs , is the part of the aorta that passes through the chest .	2.0
High -level enterococcal resistance to gentamicin in vitro does not rule out susceptibility of these strains to high levels of streptomycin ; in such cases , streptomycin should be used .	Laboratory results confirm the diagnosis and determine which antibiotics can kill the staphylococci ( called susceptibility testing ) .	0.0
They are swallowed and return to the small bowel , where they develop into adult worms , which mate and release eggs into the stool .	Eggs laid by the adult worms are excreted in stool , develop in the soil , and begin the cycle of infection again when they are ingested .	3.0
Prevention of bacterial meningitis involves vaccination and sometimes chemoprophylaxis .	Vaccination can help prevent certain bacterial infections that cause meningitis .	4.0
Wide ( ≥ 2-cm margin ) radical excision of the local tumor is indicated in all cases .	Then the tumor with its margins is surgically removed .	3.0
Treatment of acute appendicitis is open or laparoscopic appendectomy ; because treatment delay increases mortality , a negative appendectomy rate of 15 % is considered acceptable .	If appendicitis develops during pregnancy , surgery to remove the appendix ( appendectomy ) is done immediately because a ruptured appendix may be fatal .	2.0
Priapism requires urgent treatment to prevent chronic complications ( primarily erectile dysfunction ) .	Subsequent erectile dysfunction is much less common than in ischemic priapism .	2.0
Joints infected with rheumatoid arthritis should generally undergo early and aggressive surgical debridement and drainage .	If the cause is rheumatoid arthritis , surgery is usually needed .	3.0
Adjunctive treatments for meningitis can include Supportive measures ; Treatment of complications or of associated disorders ; Removal of causative drugs ; For bacterial meningitis , corticosteroids .	Treatment of meningitis depends on the cause ( for example , antibiotics for bacterial meningitis ) and includes drugs to relieve symptoms .	2.0
Dermatitis of the ear canal is characterized by pruritis , scaling , flaking , and erythema of the skin of the external auditory meatus and ear canal .	Dermatitis of the ear canal is itching , scaling , flaking , and swelling of the skin of the ear canal and skin at the entrance of the ear canal .	5.0
Dehydration may develop because of very low cabin humidity .	Dehydration while flying is common because of the low humidity in airplanes .	4.0
In hepatic fibrosis , excessive connective tissue accumulates in the liver ; this tissue represents scarring in response to chronic , repeated liver cell injury .	This inflammation may develop into scarring ( fibrosis ) and cirrhosis .	3.0
The cause may be viral infection ( some research has implicated human herpesviruses 6 , 7 , and 8 ) .	The usual cause is herpesvirus 6 , one of the many human herpesviruses .	3.0
This test may be positive in the presence of an unexpected blood group antibody or when free ( non- RBC – attached ) antibody is present in autoimmune hemolytic anemias .	Blood tests are used to detect anemia and determine the cause of the autoimmune reaction .	1.0
The diagnosis of vasa previa should be suspected based on presentation or results of routine prenatal ultrasonography .	Doctors may suspect vasa previa when ultrasonography , routinely done earlier in the pregnancy , detects certain abnormalities in the placenta or when the fetus 's heart rate is abnormal .	3.0
Renovascular disease is one of the most common causes of curable hypertension but accounts for 	Less than 5 % of people with high blood pressure have renovascular hypertension .	3.0
Electrolyte deficiencies are treated ; potassium , magnesium , and phosphorus are replaced as needed .	They include calcium , chloride , magnesium , phosphorus ( occurring mainly as phosphate in the body ) , potassium , and sodium .	3.0
Pulmonary blastomycosis may be asymptomatic or cause an acute , self - limited disease that often goes unrecognized .	Sometimes blastomycosis of the lungs causes no symptoms or causes symptoms that disappear quickly and are not recognized .	4.0
Barrett esophagus may or may not regress with medical or surgical therapy .	Barrett esophagus rarely disappears after use of a proton pump inhibitor and typically remains unchanged .	3.0
Most pancreatic cancers are exocrine tumors that develop from ductal and acinar cells .	Pancreatic endocrine tumors are tumors that arise from the types of pancreatic cells that produce hormones .	3.0
Mast cell stabilizers block the release of mediators from mast cells .	Mast cell stabilizers block mast cells from releasing histamines and other substances that cause swelling and inflammation .	2.0
Normally , cortisol is secreted maximally in the early morning and minimally at night .	Normally , cortisol levels are high in the morning and lower late in the day .	4.0
Children have flaccid muscle weakness and fasciculations , which may be hard to see in young children .	Severe , chronic ulnar nerve palsy can cause muscles to waste away ( atrophy ) , resulting in a clawhand deformity ( the fingers are frozen in a bent position because the muscles become tight ) .	3.0
One type of this device continuously records cardiac rhythms for up to 2 weeks .	Doctors can then use an external monitor to check the loop recorder for abnormal heart rhythms .	3.0
Focal or diffuse crackles ( sometimes audible without a stethoscope ) are usually present .	Loud wheezing can be heard easily , sometimes even without a stethoscope .	2.0
