source	ref	human
Trientine hydrochloride , also a chelating drug , is an alternative treatment to penicillamine .	Zinc should not be taken within 2 hours of taking penicillamine or trientine because it can bind to those drugs and make them ineffective .	2.0
Occupational therapy ( OT ) focuses on self-care activities and improvement of fine motor coordination of muscles and joints , particularly in the upper extremities .	People may have a weak grip and have trouble with fine finger movements ( dexterity ) .	0.0
Nausea , emesis , chills , headache , and fever are more common among children .	Children may also have chills , fever , headache , nausea , vomiting , and a general feeling of illness ( malaise ) .	3.0
Outcome is better for patients hospitalized because of elective procedures ( eg , joint replacement ) than for those hospitalized because of serious disorders ( eg , multisystem organ failure ) .	This therapy also applies to people undergoing some other operations in which infections are particularly problematic ( for example , joint or heart valve replacement ) .	0.0
Also , the pulmonary vasculature develops abnormally , with fewer and/or abnormally distributed alveolar capillaries ; pulmonary resistance may be increased and pulmonary hypertension can develop ( 1 ) .	This constriction and thickening increase the pressure in the pulmonary arteries .	1.0
Complications such as bleeding , perforation , and cancer are unusual .	Complications of laparoscopy include bleeding , infection , and perforation .	3.0
Some patients benefit from hospitalization , during which continuous support and monitoring are provided as painful memories are addressed .	Because of the often intense anxiety associated with traumatic memories , it is important for the people to feel supported and for the exposure to proceed at the right pace .	2.0
The main concern is malignant transformation , which occurs at different rates depending on the size and type of polyp .	Polyps vary considerably in size , and the bigger the polyp , the greater the risk that it is cancerous or likely to become cancerous ( that is , they are precancerous ) .	4.0
TMJ dysfunction is a common cause of earache in patients with a normal ear examination .	If no abnormalities are found during the ear examination but the person has chronic pain , doctors sometimes suspect the ear pain might be due to a TMJ disorder .	3.0
Symptoms are fever , abdominal pain , GI bleeding , and diarrhea .	Symptoms include a fever , anemia , blood disorders , diarrhea , and abdominal pain .	4.0
Classic FUO is body temperature ≥ 38.0° C rectally for > 3 wk with no identified cause after 3 days of hospital investigation or ≥ 3 outpatient visits .	A fever of unknown origin may be diagnosed when People have a fever of at least 101° F ( 38.3° C ) for several weeks ; Extensive investigation does not detect a cause .	4.0
Infection typically causes fever and constitutional symptoms , but specific organs ( eg , brain , meninges , heart , liver , bones ) are rarely affected .	These reactions can cause fever and inflammation of the skin , peripheral nerves , and , less commonly , the lymph nodes , joints , testes , kidneys , liver , and eyes .	2.0
Vascular birthmarks include vascular tumors ( eg , infantile hemangioma ) and vascular malformations .	Hemangiomas of infancy grow within and under the skin .	2.0
Cardiac MRI is useful to evaluate the cause of myocardial disease and to detect focal and diffuse myocardial fibrosis .	The abnormalities on ECG also help show where the heart muscle was damaged .	0.0
Sixty percent of all ALL cases occur in children , with a peak incidence at age 2 to 5 yr ; a second peak occurs after age 50 .	About one third of cases occur in children younger than 3 years of age .	3.0
Diagnosis of opioid use is usually made clinically and sometimes with urine drug testing ; laboratory tests are done as needed to identify drug -related complications .	Acute opioid intoxication is usually apparent based on what people or their friends tell the doctor and on results of the physical examination .	3.0
Peripheral smear ( typically showing immature granulocytes , basophilia , and eosinophilia ) helps distinguish CML from leukocytosis of other etiologies ( eg , leukocytosis due to infection ) .	A higher than normal number of white blood cells ( leukocytosis ) may not directly cause symptoms , but the high number of cells can be an indication of an underlying disorder such as an infection , inflammatory process or leukemia .	3.0
Weakness : Patients typically complain that they can not do specific tasks .	People with true muscle weakness often report difficulty doing specific tasks , and the weakness follows a pattern ( for example , becomes worse after walking ) .	3.0
Serum cortisol may be spuriously elevated in patients with congenital increases of corticosteroid -binding globulin or in those receiving estrogen therapy , but diurnal variation is normal in these patients .	In Cushing syndrome , the level of corticosteroids is excessive , usually due to taking corticosteroid drugs or overproduction by the adrenal glands .	3.0
Thiazide -type diuretics can increase serum cholesterol slightly ( mostly low -density lipoprotein ) and also increase triglyceride levels , although these effects may not persist > 1 yr .	Medical procedures that lower cholesterol levels are reserved for people with very high levels of LDL cholesterol that do not respond to diet and lipid-lowering drugs .	2.0
Tests usually done during the initial evaluation include CBC , serum electrolytes ( including calcium , phosphate , and magnesium ) , renal function tests , and urinalysis .	Doctors do a complete blood count and measure serum electrolytes , including potassium , magnesium , and calcium .	3.0
Transient , symptomatic hyperthyroidism with elevated T4 can occur , often resulting in misdiagnosis as Graves disease .	It is most strongly associated with an overactive thyroid ( hyperthyroidism , particularly when caused by Graves disease ) and an underactive thyroid ( hypothyroidism , particularly when caused by Hashimoto thyroiditis ) .	4.0
Tetany occurs because respiratory alkalosis causes both hypophosphatemia and hypocalcemia .	In the hyperkalemic form , the paralysis is caused by high levels of potassium in the blood ( hyperkalemia ) .	3.0
Eleven gene mutations have been identified in patients with nephronophthisis .	Nephronophthisis is inherited as an autosomal recessive disease , so one defective gene must be received from each parent .	3.0
With illness , corticosteroid dosages are increased ( typically doubled or tripled ) to prevent adrenal crisis .	Also , the dose may need to be increased in people who become ill or otherwise severely stressed while taking corticosteroids .	3.0
Systemic effects are all dose related , can occur with oral or inhaled forms , and occur mainly with inhaled doses > 800 mcg/ day .	However , the oral drugs tend to work more slowly than the inhaled or injected ones and are more likely to cause side effects so doctors use them less often .	3.0
Treat the cause of delirium , and provide supportive care , including sedation when necessary .	Treating the cause , once identified , can often reverse the delirium .	4.0
Neonates weighing 	In some very premature newborns , the lungs may be so stiff that the newborns are unable to begin breathing at birth .	3.0
Diagnosis of Lyme disease is based on serologic tests with enzyme-linked immunosorbent assay ( ELISA ) , followed by Western blot analysis to confirm .	The newer combination screening test is quicker and less complex than older screening tests , which use enzyme-linked immunosorbent assay ( ELISA ) to detect HIV antibodies and then confirm positive results using a separate , more accurate , specific test such as the Western blot test .	4.0
Add other drugs ( eg , rifampin , ethambutol , pyrazinamide , ethionamide , an aminoglycoside ) for active TB .	The most commonly used antibiotics are Isoniazid ; Rifampin ; Pyrazinamide ; Ethambutol .	3.0
