source	ref	human
Rumination is repeated regurgitation of food after eating ; the regurgitation does not involve nausea or retching and may be voluntary .	Rumination disorder is characterized by regurgitation of food after eating .	3.0
The larvae are released , penetrate the bowel wall , and mature in the abdominal cavity into adult worms in about 1 year .	Inside the abdomen , larvae mature into adult worms in about 1 year , and the adult worms mate .	4.0
Fungal and nonherpetic viral skin infections ( eg , common warts , molluscum contagiosum ) can also occur .	People with atopic dermatitis may also develop viral skin infections ( such as common warts and molluscum contagiosum ) and fungal skin infections .	4.0
Subconjunctival hemorrhages are absorbed spontaneously , usually within 2 wk .	Subconjunctival hemorrhages may appear frightening but are almost always harmless .	2.0
In addition to erythropoietin , red blood cell production requires adequate supplies of substrates , mainly iron , vitamin B12 , folate , and heme .	People may also benefit from the proteins erythropoietin , which may help in the production of red blood cells , and thrombopoietin , which stimulates the development of platelets .	2.0
There may be an increased incidence of thyroid tumors , rarely thyroid lymphoma .	Rarely , lymphoma , a thyroid tumor , or another cancerous ( malignant ) tumor is the cause .	5.0
pelvic pain , a feeling of fullness in the abdomen , and frequent urination .	But some women feel a sense of fullness or pressure or pain in the pelvis .	2.0
In paroxysmal nocturnal dyspnea ( PND ) , dyspnea awakens patients several hours after they lie down and is relieved only after they sit up for 15 to 20 min .	Paroxysmal nocturnal dyspnea is a sudden , often terrifying attack of dyspnea during sleep .	1.0
Focal infections , typically in the lung or sinuses , sometimes form a fungus ball ( aspergilloma ) .	Aspergillus can also form fungus balls ( aspergillomas ) in cavities and cysts of lungs damaged by another disease , such as tuberculosis , and severe bleeding may result .	3.0
Fever and earlier symptoms recur , and meningitis may develop .	Meningitis often appears suddenly ( called acute meningitis ) .	3.0
aeruginosa ) ; frequently implicated gram- positive organisms are group D streptococci and coagulase- negative staphylococci ( eg , S. saprophyticus ) .	The most common are those of the Streptococcus and Staphylococcus species .	4.0
The placenta produces corticotropin-releasing hormone ( CRH ) , which stimulates maternal adrenocorticotropic hormone ( ACTH ) production .	Vasopressin and CRH trigger the pituitary gland to secrete corticotropin ( also known as adrenocorticotropic hormone or ACTH ) , which stimulates the adrenal glands to produce corticosteroids .	2.0
Diverticula rarely involve the stomach but are common in the duodenum and small bowel .	Diverticula may develop anywhere in the large intestine , but they are more common in the sigmoid colon , which is the last part of the large intestine just before the rectum .	4.0
Kidney transplantation is an option for patients with end-stage renal disease .	People who have end-stage kidney disease can undergo a kidney transplantation as an alternative to dialysis .	4.0
Treatment is with N-acetylcysteine to prevent or minimize hepatotoxicity .	Therefore , acetylcysteine must be given before liver injury occurs .	4.0
Possible inciting antigens include viruses that cause upper respiratory infections , streptococcal infection , drugs , foods , insect bites , and immunizations .	It may be triggered by viruses that cause upper respiratory infections , drugs , foods , immunizations , or insect bites .	4.0
Intracranial spread is extremely rare and usually causes meningitis , but brain abscess , subdural empyema , epidural abscess , lateral sinus thrombosis , or otitic hydrocephalus may occur .	Because meningitis is now uncommon in children , epidural abscesses and subdural empyemas are also uncommon in children .	1.0
Children infected with tuberculosis are more likely than adults to develop active disease , which commonly manifests as extrapulmonary disease .	However , very young children ( who have weaker defenses against infection ) and people with a weakened immune system may develop pneumonia and/or tuberculosis that affects other parts of the body ( extrapulmonary tuberculosis ) .	2.0
However , hypnotics may have adverse effects , such as daytime drowsiness , amnesia , and nighttime insomnia .	However , sedatives may have side effects , such as daytime drowsiness , amnesia , and nighttime insomnia .	3.0
Portosystemic shunts are typically not used if hepatic encephalopathy is present ; such shunts worsen liver function .	However , such shunts increase the risk of hepatic encephalopathy ( deterioration of brain function due to liver dysfunction ) .	3.0
It is often initiated by Pseudomonas external otitis ; methicillin-resistant Staphylococcus aureus ( MRSA ) has also been identified as a cause .	Methicillin-resistant Staphylococcus aureus ( MRSA ) has also been identified as a cause .	3.0
Do ERCP and sphincterotomy to remove a stone that causes obstruction .	ERCP with endoscopic sphincterotomy is successful in 90 % of people .	3.0
Because iron is poorly absorbed , dietary iron barely meets the daily requirement for most people .	Normal dietary intake of iron may not be sufficient to replace lost iron ( because less than 20 % of iron in a typical diet is absorbed into the body ) .	4.0
Chronic effusions are best treated by treating the cause , if known .	Small pleural effusions may not require treatment , although the underlying disorder must be treated .	3.0
Imaging should be limited to a chest x-ray , abdominal CT , and mammography .	Computed tomography ( CT ) of the chest provides more detail than a plain x-ray .	3.0
Raxibacumab and obiltoxaximab are monoclonal antibodies that bind to the protective antigen protein and can be used in combination with antibiotics to treat inhalation anthrax .	Inhalation anthrax can also be treated with a combination of antibiotics and injections of raxibacumab or obiltoxaximab ( monoclonal antibodies that bind anthrax toxins in the person 's system ) or with a combination of antibiotics and intravenous anthrax immune globulin .	4.0
For routine diphtheria , tetanus , and pertussis immunization and booster recommendations , see Diphtheria - Tetanus - Pertussis Vaccine and Tetanus - Diphtheria Vaccine .	The tetanus - diphtheria ( Td ) vaccine is given as a booster every 10 years after the diphtheria - tetanus - pertussis booster is given at age 11 to 12 years .	3.0
Colonoscopy is preferred for patients > 50 to exclude colonic polyps and tumors .	For example , people who are age 50 and older should undergo colonoscopy every 10 years ( or more frequently or at an earlier age if they have had polyps in the colon or have a family history of colon cancer ) to detect polyps or other changes .	3.0
Antibiotics are started after the appropriate cultures are taken and continued until the bacterial sensitivity is known .	As soon as the doctor receives the laboratory results , the antibiotic may be changed depending on the sensitivity of the particular bacteria to specific antibiotics .	4.0
Tests are done sequentially , with previous results determining the next test to be used .	Whether additional tests are needed and which tests are done depend on results of the previous tests .	4.0
However , most patients who have preeclampsia without severe features require hospitalization , at least initially .	However , most women with preeclampsia are hospitalized , at least at first .	4.0
Potassium supplements or potassium citrate may be required in patients who become hypokalemic when given sodium bicarbonate but is not recommended in patients with normal or high serum potassium levels .	In hyperkalemia , the level of potassium in blood is too high .	1.0
